uid,body,title,url,newspaper_uid,host,n_tokens_title,n_tokens_body
a36130bfcaaf6b9c153e621ab842e2b8,"El diputado local del PAN, Federico Döring, llamó a la jefa de Gobierno, Claudia Sheinbaum, a no olvidar la situación de la familia de Gabriela Gómez Cervantes, mujer que murió durante el atentado en contra del secretario de Seguridad Ciudadana (SSC), Omar García Harfuch.    “Nos parece una irresponsabilidad que el Gobierno haya tratado de consolar a los familiares con 10 mil pesos. ¿Realmente eso vale la vida de una persona para la doctora Sheinbaum?”, cuestionó el panista.   Reconoció que si bien otorgaron facilidades para los trámites sobre el deceso, el legislador del blanquiazul se unió a la demanda que ha hecho el esposo de la hoy occisa, quien busca una indemnización justa para su familia.   “Hemos visto a la jefa de Gobierno visitando al secretario en el hospital, pero jamás vimos un acercamiento real hacia las familias de las víctimas, ya no sólo de Gómez Cervantes, sino alguna actitud con los familiares de los escoltas fallecidos y elementos heridos, simples reconocimientos y lamentaciones”, criticó el diputado.    Ante ello, Döring Casar pidió a la secretaria de Gobierno, Rosa Icela Rodríguez, hacer un segundo esfuerzo para darle un trato más humano a la situación y no escatimar recursos para apoyar a la familia de Gabriela, quien dejó a dos menores solas.    “Esta mujer era trabajadora y vivía al día, no dejar sola a la familia. Ojalá tengan una atención más clara y le exigimos al Gobierno darles todo el apoyo que va desde una vivienda, becas hasta garantizar los estudios de los menores hasta la universidad y que no se queden desprotegidos”, reiteró el panista.    Además, dijo, en apoyo a la economía del esposo viudo, la doctora Sheinbaum Pardo debe garantizarles un medio de transporte para que este señor continúe con la venta de sus productos y mantenga a sus hijas.   Hay que entender que la desgracia de esta familia, sobre todo de Gabriela, es que estuvo en el lugar y la hora equivocada. Es una víctima ajena en la lucha contra la delincuencia, “pero es inhumano que ahora el Gobierno capitalino pretenda dar sólo 10 mil pesos a los deudos para que olviden el problema”, enfatizó el legislador.","Irresponsable, consolar con $10 mil a familia de joven fallecida en ataque a García Harfuch: Döring",https://www.eluniversal.com.mx/metropoli/cdmx/irresponsable-consolar-con-10-mil-familia-de-joven-fallecida-en-ataque-garcia-harfuch,eluniversal,www.eluniversal.com.mx,10,183
1d90e6a140a874fbda638f458384f102,"A través de redes sociales, el presidente Andrés Manuel López Obrador publicó un video en el que se refirió a una semana difícil en nuestro país que registró un sismo de magnitud 7.5 en Oaxaca, más muertes por Covid-19 y el atentado contra Omar García Harfuch, secretario capitalino de Seguridad Ciudadana. ","Lo que dijo AMLO tras una “semana difícil” de sismo, pandemia y atentado",http://www.eluniversal.com.mx/nacion/politica/lo-que-dijo-amlo-tras-una-semana-dificil-de-sismo-pandemia-y-atentado,eluniversal,www.eluniversal.com.mx,8,27
1574200d0dec87badcf0c1fa43244a62,"Con más de un año de experiencia en el futbol mexicano como técnico de los Pumas, Miguel González Míchel ya trabaja en el armado del equipo rumbo al Apertura 2020. Complicada misión para el español.",Los 'problemas' de Míchel González rumbo al Apertura 2020,http://www.eluniversal.com.mx/universal-deportes/futbol/pumas-los-problemas-de-michel-rumbo-al-apertura-2020,eluniversal,www.eluniversal.com.mx,4,17
fe654e88feb791d2baf140de0ad6b420,"El escenario es un salón de la Casa Blanca, donde Donald Trump (DT), su hija Ivanka y su yerno Jared esperan con curiosidad a la delegación mexicana encabezada por el presidente Andrés Manuel López Obrador (AMLO). Sobre la mesa se han dispuesto cajitas con hamburguesas, pollo frito y refresco de cola. Minutos antes, AMLO y su comitiva visitaron apresuradamente la estatua de Benito Juárez en las avenidas Virginia y Nuevo Hampshire, pues los antifa siguen empeñados en derribar monumentos.",El Foco. Así será la reunión entre Trump y AMLO,http://www.eluniversal.com.mx/nacion/el-foco-asi-sera-la-reunion-entre-trump-y-amlo,eluniversal,www.eluniversal.com.mx,5,48
e25ee180212ea8f1600ec81875f52a34,"La actriz María Sorté ha usado las redes sociales para agradecer las muestras de apoyo que le han enviado luego que su hijo, el secretario de Seguridad Ciudadana de la CDMX, Omar García Harfuch, fue víctima el viernes de un atentado orquestado por el Cartel Jalisco Nueva Generación. ",María Sorté agradece oraciones a García Harfuch,http://www.eluniversal.com.mx/espectaculos/maria-sorte-agradece-oraciones-su-hijo-omar-garcia-harfuch,eluniversal,www.eluniversal.com.mx,6,27
5058eac953d5838d2076cede588f4524,"Los 28 sicarios que atentaron contra el secretario de Seguridad Ciudadana de la Ciudad de México, Omar García Harfuch, se ocultaron en hoteles de la alcaldía Cuauhtémoc, en dos casas de la Gustavo A. Madero y otra en la alcaldía Tláhuac; además, el arsenal de armas que emplearon incluyó no sólo cinco fusiles Barrett, sino un lanzagranadas. En total fueron levantados 414 casquillos percutidos.",Agresores de García Harfuch se ocultaron en tres alcaldías ,http://www.eluniversal.com.mx/metropoli/atentado-garcia-harfuch-agresores-de-se-ocultaron-en-tres-alcaldias,eluniversal,www.eluniversal.com.mx,6,35
aba257786a71d81b2c8bdd6ffb7393ac,"Guanajuato.- La defensa de María Ortíz, madre del líder del Cartel de Santa Rosa de Lima, José Antonio Yépez, dio a conocer que un hermano de “El Marro” y su familia, se fue de México hacia Estados Unidos, tras la detención de la señora y una hermana.",Hermano de “El Marro” se va a Estados Unidos tras detenciones,http://www.eluniversal.com.mx/estados/hermano-de-el-marro-se-va-estados-unidos-tras-detenciones,eluniversal,www.eluniversal.com.mx,6,24
63774360ff1b2631094b7ea08a2c5c98,"No hay mexicano que se respete que no ame y adore el pan dulce; es más, muy alto en la lista de nuestras delicias favoritas, siempre hay por lo menos un par de estas maravillas, e incluso se arman grandes discusiones familiares sobre las virtudes de unos y otros, y qué decir de las verdaderas batallas campales sobre la posesión (y consumo, por supuesto) de la última concha de vainilla.",Conoce los panes dulces mexicanos más clásicos de todos,http://www.eluniversal.com.mx/menu/estos-son-los-10-panes-mexicanos-mas-tradicionales,eluniversal,www.eluniversal.com.mx,5,30
35658f0587568203b8ad0d693766028b,"El gobernador de California, Gavin Newsom, ordenó este domingo el cierre de los bares de Los Ángeles y de otros seis condados del estado en su intento de atajar la expansión de los casos de coronavirus en la región.",California cierra bares de Los Ángeles y 6 condados más para combatir el Covid-19,http://www.eluniversal.com.mx/mundo/coronavirus-california-cierra-bares-de-los-angeles-y-6-condados-mas,eluniversal,www.eluniversal.com.mx,6,17
84fa272b70a52aa1bc15a5e80eee40d1,Texto: Elisa Villa Román,La abundancia petrolera “vino y se fue” en noches de diciembre,https://www.eluniversal.com.mx/opinion/mochilazo-en-el-tiempo/la-abundancia-petrolera-vino-y-se-fue-en-noches-de-diciembre,eluniversal,www.eluniversal.com.mx,5,4
8186415a9b64ad383faf77f634d5954d,"Yo soy Betty, la fea es una de las telenovelas más exitosas de todos los tiempos. Y sus personajes y elenco traspasaron la pantalla.","Yo soy Betty, la fea, elenco, personajes y actores antes y después",http://www.unionyucatan.mx/articulo/2020/06/01/espectaculos/yo-soy-betty-la-fea-elenco-personajes-y-actores-antes-y-despues,eluniversal,www.unionyucatan.mx,6,9
0a5d823bfddff102366865b6faaadc0b,Texto: Susana Colin Moya,A 100 años del avionazo en la Lagunilla,https://www.eluniversal.com.mx/opinion/mochilazo-en-el-tiempo/100-anos-del-avionazo-en-la-lagunilla,eluniversal,www.eluniversal.com.mx,3,4
e453f3bc1abae97bb0c6079ca3c3d20d," La actriz Salma Hayek abrió el baúl de los recuerdos y compartió en Instagram un fragmento de la película From Dusk Till Dawn con la que acaparó los reflectores en 1996, cuando ella tenía 30 años. ",salma hayek baila en bikini con su throwback mas atrevido,https://www.viveusa.mx/showbiz/salma-hayek-baila-en-bikini-con-su-throwback-mas-atrevido,eluniversal,www.viveusa.mx,7,17
382fb2db50a79b1d8dcca91bce55b6fd,"Damián Alcázar volvió a dar de qué hablar, y es que en esta ocasión criticó a Felipe Calderón por ser uno de los opositores al gobierno de Andrés Manuel López Obrador.",Damián Alcázar arremete contra Felipe Calderón Hinojosa,http://www.eluniversal.com.mx/espectaculos/farandula/damian-alcazar-arremete-contra-felipe-calderon-hinojosa,eluniversal,www.eluniversal.com.mx,6,16
f209eb1f4fa5e9f433e96ce413cb3563,"Este fin de semana los fans de ""Dark"" no se alejaron de sus pantallas, pues por fin llegó la tercera y última temporada del programa protagonizado por Louis Hofmann. ","Tercera temporada de ""Dark"" deja confusión y memes en redes",http://www.eluniversal.com.mx/espectaculos/tercera-temporada-de-dark-deja-confusion-y-memes-en-redes,eluniversal,www.eluniversal.com.mx,7,16
269276eddab04b72cb9d9f6ff33c0e60," —Ayudaremos a los pobres —: el plan del Presidente López Obrador ante la crisis que vivimos ha dejado en el desamparo y la zozobra a la otra mitad de la población, la clase media.",El fin de la economía,https://www.eluniversal.com.mx/opinion/sabina-berman/el-fin-de-la-economia,eluniversal,www.eluniversal.com.mx,2,14
6bf5078b48b67ff59021014ffcad2a53,"No hay dudas… los hermanos Wachowski se ganaron un lugar importante en la historia del cine tras dirigir una de las películas más emblemáticas del siglo pasado: Matrix (1999). Se trata de una película que les generó un rápido y rotundo éxito, que provocó un gran impacto por sus innovaciones visuales.",las hermanas wachowski y su dura transicion sexual,https://de10.com.mx/parejas/las-hermanas-wachowski-y-su-dura-transicion-sexual,eluniversal,de10.com.mx,5,25
01b9f4c064bbfe718f3e6d218b1c4a5b," Una democracia saludable requiere de vigorosos debates de los asuntos públicos en todos los medios posibles, desde las conversaciones familiares y juntas vecinales hasta los medios de comunicación y el parlamento. El grado de confrontación y polarización de la conversación pública varía con la intensidad de las preferencias y la disposición al compromiso de los contendientes. La democracia es para eso, para resolver los conflictos sin violencia. La herencia funesta de las revoluciones y las guerras ha contribuido a que la democracia sea un valor universal, un sistema preferible y preferido sobre aquellas porque es el único que permite las transformaciones pacíficas.",No polarizarás en vano,https://www.eluniversal.com.mx/opinion/francisco-valdes-ugalde/no-polarizaras-en-vano,eluniversal,www.eluniversal.com.mx,2,47
