article_author,article_date,article_location,body,title,url
,,,Serrath es una de las participantes de Survivor México 2020.,"Serrath en Survivor México 2020, deja Enamorándonos",http://www.unionyucatan.mx/articulo/2020/07/05/espectaculos/serrath-en-survivor-mexico-2020-deja-enamorandonos
,,,"Hay papeles especiales en la carrera de cada actor y para Shelley Duvall su trabajo junto a Stanley Kubrick y Jack Nicholson en El Resplandor, marcaría su vida y casi le costaría su cordura.",,https://de10.com.mx/top-10/shelley-duvall-y-el-tormento-que-vivio-al-filmar-el-resplandor
Araceli García,08/07/2020,,"A finales de la década de los 60, la televisión vio nacer un personaje que se convertiría en la viva imagen de la astrología: Walter Mercado.",Walter Mercado tuvo mucho amor para todos,http://www.eluniversal.com.mx/espectaculos/walter-mercado-tuvo-mucho-amor-para-todos
,,,La Secretaría de Educación de Yucatán (Segey) detalló los criterios que tomará en cuenta para la asignación de lugares en las secundarias con sobre demanda.,Cómo se asignarán lugares en secundarias de Yucatán,http://www.unionyucatan.mx/articulo/2020/07/07/educacion/como-se-asignaran-lugares-en-secundarias-de-yucatan
,,,"
Todos los mexicanos necesitan un pasaporte para viajar al extranjero por motivos de turismo, estudio o trabajo. Tener este documento vigente, será útil en un viaje planeado o imprevisto. ",,https://www.viveusa.mx/educacion/documentos-para-tramitar-el-pasaporte-mexicano-por-primera-vez
Roselia Chaca,22/06/2020,,"
Juchitán de Zaragoza. - El Ayuntamiento de San Mateo del Mar, comunidad Ikoots, del Istmo de Tehuantepec en Oaxaca, confirmó la masacre de 15 habitantes indígenas como resultado de un conflicto político-electoral entre la cabecera municipal y otras comunidades. ",Confirman masacre de 15 ikoots en San Mateo del Mar por conflicto político-electoral ,https://oaxaca.eluniversal.com.mx/municipios/22-06-2020/confirman-masacre-de-15-ikoots-en-san-mateo-del-mar-por-conflicto-politico
,08/07/2020,,"
Uno de los documentos más importantes para un automovilista es su licencia de conducir. Por lo tanto, es importante que la mantenga actualizada. Sin embargo, la contingencia por coronavirus ha puesto en pausa muchos servicios, trámites y otros aspectos de la vida diaria. Afortunadamente, el internet se ha convertido en una herramienta útil para hacerle frente a la situación que el mundo enfrenta actualmente. ",¿Cómo tramitar en línea la reposición de la licencia de conducir?,http://www.eluniversal.com.mx/techbit/como-tramitar-en-linea-la-reposicion-de-la-licencia-de-conducir
,,,"
Unas mujer se volvió viral luego de ser filmada mientras gritaba “las vidas de los blancos son mejores” y “las vidas de los blancos importan”, durante una protesta del movimiento Black Lives Matter en el estado de Tennessee. ",,https://www.viveusa.mx/noticias/despiden-mujer-por-gritar-las-vidas-blancas-son-mejores-en-eu
Christian Mendoza,08/07/2020,,"La crisis por contagios de Covid-19 en jugadores, luego de su llegada a Orlando, Florida, para disputar desde hoy la MLS is Back, ha generado incertidumbre.",Jugadores mexicanos participarán en torneo de la MLS a pesar de pandemia,http://www.eluniversal.com.mx/universal-deportes/futbol/jugadores-mexicanos-participaran-en-torneo-de-la-mls-pesar-de-pandemia
,,,"La Secretaría de Educación Pública de Puebla (SEP), dio a conocer que a partir del 6 de julio, tutores y padres de familia podrán consultar los resultados del proceso de preinscripción para el ciclo escolar 2020-2021, y verificar en qué escuela deberán inscribir a las y los niños de nuevo ingreso, únicamente de educación básica.",SEP Puebla: Checa los resultados de las preinscripciones 2020-2021,http://www.unionpuebla.mx/articulo/2020/07/06/educacion/sep-puebla-checa-los-resultados-de-las-preinscripciones-2020-2021
Universal Deportes,07/07/2020,,"Miguel Herrera sigue con la consigna de no respetar las ordenes del protocolo de la Liga MX. El técnico del América no utiliza el cubrebocas mientras se encuentra en la zona técnica en el juego entre su equipo, el América y los Pumas de la Universidad.",Miguel Herrera continúa violando protocolo de la Liga MX,http://www.eluniversal.com.mx/universal-deportes/futbol/miguel-herrera-continua-violando-protocolo-de-la-liga-mx
Sergio Marín,22/06/2020,,"
Las calificaciones y certificados correspondientes al ciclo escolar 2019-2020, ya están disponibles y pueden consultarse a través de las páginas seslp.gob.mx, http://cpte.gob.mx/calificaciones/ y en la aplicación para celular Calificaciones SLP, informó su titular Joel Ramírez Díaz, quien precisó que en ambos casos es un trámite completamente gratuito. ",Ofrece la SEGE consulta de boleta de calificaciones y certificados a través de celular e internet,https://sanluis.eluniversal.com.mx/sociedad/22-06-2020/ofrece-la-sege-consulta-de-boleta-de-calificaciones-y-certificados-traves-de
,08/07/2020,,"Una pequeña hoguera con restos de leña quemada, llantas, alambres y restos óseos, fue hallada a principios de diciembre en 2014 en la Barranca de la Carnicería, en el municipio de Iguala, Guerrero. La habían encontrado miembros de la Unión de Pueblos y Organizaciones del Estado de Guerrero, UPOEG.","La nueva “verdad histórica”, a 800 metros de la otra",https://www.eluniversal.com.mx/opinion/hector-de-mauleon/la-nueva-verdad-historica-800-metros-de-la-otra
,,,"
Un buen cuidado de la piel y estilos de vida saludables ayudan a prevenir problemas dermatológicos y a retrasar el envejecimiento. ",,https://www.viveusa.mx/bienestar/5-consejos-de-dermatologos-para-lucir-una-piel-radiante
Marittza Navarro,08/07/2020,,"
En los primeros 19 días que operó Querétaro con semáforo naranja en materia epidemiológica, se dieron el 34% y 29% del total de las muertes y contagios, respectivamente, que se tienen cuantificados en los casi 4 meses de pandemia, revelan datos de la página de internet que abrió el gobierno del estado, en donde se almacena la información realtiva al Covid-19.","Nueva normalidad incrementa contagios y muertes por Covid-19, en Querétaro",https://www.eluniversalqueretaro.mx/portada/suben-casos-en-la-nueva-normalidad
Alexis Ortiz,08/07/2020,,"
El subsecretario de Derechos Humanos, Alejandro Encinas, aseguró que el gobierno federal no inventará una nueva verdad histórica sobre el caso Ayotzinapa, luego de que la Fiscalía General de la República (FGR) dio a conocer la identificación de un resto humano que corresponde al normalista Christian Alfonso Rodríguez.",“No se inventará otra verdad histórica”,http://www.eluniversal.com.mx/nacion/no-se-inventara-otra-verdad-historica
Redacción,08/07/2020,,"La actriz Verónica Montes pidió un alto a los estereotipos y a los prejuicios en la industria del entretenimiento, y contó una desagradable experiencia en la que quisieron asignarle el papel de “rubia tonta”.",Verónica Montes alza la voz y no acepta el papel de “rubia tonta”,http://www.eluniversal.com.mx/espectaculos/veronica-montes-alza-la-voz-y-no-acepta-el-papel-de-rubia-tonta
Redacción,08/07/2020,,"El embajador de Estados Unidos en México, Christopher Landau, reveló que el lunes su país respondió a la nota diplomática emitida por el gobierno de México por el operativo ""Rápido y Furioso"".","EU responde a nota diplomática de México por ""Rápido y Furioso""",http://www.eluniversal.com.mx/nacion/politica/rapido-y-furioso-eu-responde-nota-diplomatica-de-mexico
,08/07/2020,,"      Es un hecho que —hasta donde se sabe públicamente y en sentido contrario al estilo pendenciero del que ha dado innumerables muestras— Donald Trump ha cuidado el trato que le dispensa a Andrés Manuel López Obrador, aunque innegablemente haya convertido a los mexicanos en sus villanos favoritos. También AMLO ha cuidado el trato que le da a Trump, pese a las bravuconerías que le ha recetado al país, lo que para algunos es imperdonable sumisión, pero para otros es diplomática conveniencia.",El día que demandaron a Trump en Tijuana,https://www.eluniversal.com.mx/opinion/raul-rodriguez-cortes/el-dia-que-demandaron-trump-en-tijuana
Redacción Querétaro,08/07/2020,,"
Al participar en la Primera Asamblea Plenaria Ordinaria 2020 de la Conferencia Nacional de Seguridad Pública Municipal, el alcalde Luis Nava destacó la labor de las corporaciones de seguridad de los municipios que a lo largo de la contingencia sanitaria provocada por el Covid-19 han sido de los primeros respondientes y los más cercanos a los ciudadanos.",Destaca Lava Nava labor de agentes municipales,https://www.eluniversalqueretaro.mx/portada/destaca-nava-labor-de-agentes-municipales
EFE,07/07/2020,,"Nueva York.- El polémico libro escrito por la sobrina de Donald Trump, Mary Trump, sobre el presidente de Estados Unidos y su familia lo describe como un narcisista sin principios que ha adoptado el engaño como un ""modo de vida"" tras haber quedado traumatizado por su padre, que le impidió ""desarrollar y experimentar todo el espectro de emociones humanas"". ","Trump es un narcisista traumatizado por su padre, dice sobrina en nuevo libro",https://www.eluniversal.com.mx/mundo/trump-es-un-narcisista-traumatizado-por-su-padre-dice-sobrina-en-nuevo-libro
Paola Monterrubio ,08/07/2020,,"Al almacenar correctamente tus alimentos, puedes mantener tus productos frescos durante más tiempo, reducir el desperdicio de comida y ahorrarte dinero al conservarlos por un periodo extendido, señala la organización Food Revolution Network.",Evita estos errores al guardar los alimentos en el refrigerador ,http://www.eluniversal.com.mx/menu/errores-comunes-al-guardar-los-alimentos-en-el-refrigerador
,,,"
La actriz mexicana Eiza González regresó a la ciudad de Los Ángeles, en California, luego de pasar cinco días en las playas de Cabo San Lucas con el actor Timothée Chalamet. ",,https://www.viveusa.mx/showbiz/eiza-gonzalez-luce-piernas-tonificadas-con-vestido-veraniego
,,,"La Secretaría de Educación Pública (SEP) prevé que el próximo 10 de agosto sea el regreso a clases, con un curso remedial al que acudirán los alumnos de nivel básico.",Cubrebocas y caretas: Nueva Normalidad en la lista de útiles 2020,http://www.unionguanajuato.mx/articulo/2020/07/07/educacion/cubrebocas-y-caretas-nueva-normalidad-en-la-lista-de-utiles-2020
